In;9.578582;15.504003;5.470803
In;12.381559;13.517857;5.076476
In;15.770515;11.548735;5.061130
In;19.168901;9.597297;5.076564
In;22.291744;8.163636;5.470974
In;9.460145;19.551832;5.542489
In;12.399196;17.563479;5.160087
In;15.809698;15.576549;5.154139
In;19.239088;13.595787;5.154134
In;22.664178;11.635932;5.159199
In;25.856196;10.084285;5.542212
In;9.460145;23.519168;5.542489
In;12.391345;21.535500;5.173843
In;15.816273;19.551673;5.167878
In;19.245244;17.568495;5.163794
In;22.675959;15.590456;5.167795
In;26.107284;13.614305;5.173935
In;29.290776;12.068926;5.541827
In;9.578582;27.566997;5.470803
In;12.399196;25.507521;5.160087
In;15.816273;23.519327;5.167878
In;19.246911;21.535500;5.159229
In;22.678530;19.553959;5.159365
In;26.111327;17.573278;5.167735
In;29.542848;15.609303;5.159073
In;32.735965;14.195029;5.470841
In;12.381559;29.553143;5.076476
In;15.809698;27.494451;5.154139
In;19.245244;25.502505;5.163794
In;22.678530;23.517041;5.159365
In;26.113815;21.535500;5.163371
In;29.558018;19.556059;5.153621
In;33.055904;17.616246;5.076465
In;15.770515;31.522265;5.061130
In;19.239088;29.475213;5.154134
In;22.675959;27.480544;5.167795
In;26.111327;25.497722;5.167735
In;29.558018;23.514941;5.153621
In;33.066355;21.535500;5.060764
In;19.168901;33.473703;5.076564
In;22.664178;31.435068;5.159199
In;26.107284;29.456695;5.173935
In;29.542848;27.461697;5.159073
In;33.055904;25.454754;5.076465
In;22.291744;34.907364;5.470974
In;25.856196;32.986715;5.542212
In;29.290776;31.002074;5.541827
In;32.735965;28.875971;5.470841
In;10.335428;14.194839;2.216986
In;13.780367;12.068815;2.287805
In;17.214779;10.084207;2.288095
In;20.779035;8.163909;2.216785
In;10.015336;17.616151;1.822636
In;13.528044;15.609145;1.904987
In;16.963617;13.614204;1.919906
In;20.406954;11.635765;1.904993
In;23.901949;9.597480;1.822302
In;10.004863;21.535500;1.806841
In;13.513081;19.555789;1.899739
In;16.959435;17.572987;1.913802
In;20.394786;15.590112;1.913679
In;23.831772;13.595729;1.899912
In;27.300501;11.548922;1.806680
In;10.015336;25.454849;1.822636
In;13.513081;23.515211;1.899739
In;16.957266;21.535500;1.909560
In;20.392472;19.554048;1.905508
In;23.825530;17.568528;1.909719
In;27.261469;15.576851;1.899877
In;30.689470;13.518113;1.821950
In;10.335428;28.876161;2.216986
In;13.528044;27.461855;1.904987
In;16.959435;25.498013;1.913802
In;20.392472;23.516952;1.905508
